Water System No,Water System Name,Principal County Served,Federal Water System Type CODE,Federal Water System Type,State Water System Type CODE,State Water System Type,Water System Status CODE,System Status,Owner Type CODE,Owner Type,Primary Water Source Type CODE,Primary Water Source Type,Residential Population,Non-Transient Population,Transient Population,Total Population,Number of Agricultural Service Connections (AG),Number of Combined Service Connections (CB),Number of Commercial Service Connections (CM),Number of Institutional Service Connections (IN),Number of Residential Service Connections (RS),Total Number of Service Connections,Fee Code,Fee Code Description,Date of Sanitary Survey visit (SNSV Visit Date),CITY,Treatment Plant Class CODE,Treatment Plant Class,Distribution System Class CODE,Distribution System Class
CA1910025,"LOS ANGELES CWWD 40, REG. 39-ROCK CREEK",LOS ANGELES,C,Community,C,Community,A,Active,L,Local,SWP,Surface Water Purchased,1311,NULL,NULL,1311,NULL,NULL,10,1,336,347,SC,Small Community,10/1/2018,ALHAMBRA,T1,Treatment Operator Level 1,D1,Distribution Operator Level 1
CA1910026,"COMPTON-CITY, WATER DEPT.",LOS ANGELES,C,Community,C,Community,A,Active,L,Local,SWP,Surface Water Purchased,79898,NULL,NULL,79898,16,NULL,1192,141,13035,14384,DAVCL,Disadvantaged Large Community Water System,10/29/2020,COMPTON,TD,Treatment or distribution operator of any grade,D4,Distribution Operator Level 4
CA1910027,"LOS ANGELES CWWD 40, REG. 35-N.E. L.A.",LOS ANGELES,C,Community,C,Community,A,Active,L,Local,GW,Groundwater,798,NULL,NULL,798,NULL,NULL,15,NULL,204,219,SC,Small Community,10/1/2018,ALHAMBRA,T1,Treatment Operator Level 1,D1,Distribution Operator Level 1
CA1910028,CRESCENTA VALLEY CWD,LOS ANGELES,C,Community,C,Community,A,Active,L,Local,SWP,Surface Water Purchased,33203,NULL,NULL,33203,69,NULL,412,NULL,7523,8004,C1,Large Water System,9/26/2017,LA CRESCENTA,T3,Treatment Operator Level 3,D4,Distribution Operator Level 4
CA1910029,CITY OF INDUSTRY WATERWORKS SYSTEMS,LOS ANGELES,C,Community,C,Community,A,Active,L,Local,GW,Groundwater,6813,NULL,NULL,6813,33,NULL,336,2,1491,1862,C1,Large Water System,1/11/2018,LA PUENTE,NULL,,D2,Distribution Operator Level 2
CA1910030,GSWC - CULVER CITY,LOS ANGELES,C,Community,C,Community,A,Active,P,Private,SWP,Surface Water Purchased,36271,NULL,NULL,36271,116,NULL,1271,67,7814,9268,C1,Large Water System,7/30/2019,SANTA FE SPRINGS,T1,Treatment Operator Level 1,D4,Distribution Operator Level 4
CA1910032,FOOTHILL MUNICIPAL WATER DIST.,LOS ANGELES,C,Community,C,Community,A,Active,L,Local,SWP,Surface Water Purchased,NULL,NULL,NULL,1,NULL,NULL,NULL,19,NULL,19,WH,Wholesaler,4/29/2020,LA CANADA FLINTRIDGE,NULL,,D4,Distribution Operator Level 4
CA1910033,CALIFORNIA WATER SERVICE CO. - DOMINGUEZ,LOS ANGELES,C,Community,C,Community,A,Active,P,Private,SWP,Surface Water Purchased,143017,NULL,NULL,143017,NULL,NULL,3082,151,29704,32937,C1,Large Water System,11/3/2015,TORRANCE,T2,Treatment Operator Level 2,D5,Distribution Operator Level 5
CA1910034,"DOWNEY - CITY, WATER DEPT.",LOS ANGELES,C,Community,C,Community,A,Active,L,Local,GW,Groundwater,112831,NULL,NULL,112831,142,NULL,1538,40,21835,23555,C1,Large Water System,8/8/2018,DOWNEY,NULL,,D4,Distribution Operator Level 4
CA1910035,KINNELOA IRRIGATION DIST.,LOS ANGELES,C,Community,C,Community,A,Active,L,Local,GW,Groundwater,1940,NULL,NULL,1940,23,NULL,10,NULL,555,588,SC,Small Community,4/3/2019,PASADENA,TD,Treatment or distribution operator of any grade,D3,Distribution Operator Level 3
CA1910036,CALIFORNIA WATER SERVICE CO. - ELA,LOS ANGELES,C,Community,C,Community,A,Active,P,Private,SWP,Surface Water Purchased,151300,NULL,NULL,151300,NULL,NULL,4935,102,21078,26115,C1,Large Water System,12/5/2017,COMMERCE,T3,Treatment Operator Level 3,D5,Distribution Operator Level 5
CA1910038,"EL MONTE-CITY, WATER DEPT.",LOS ANGELES,C,Community,C,Community,A,Active,L,Local,GW,Groundwater,22968,NULL,NULL,22968,94,NULL,675,15,3093,3877,DAVCL,Disadvantaged Large Community Water System,12/16/2019,EL MONTE,T2,Treatment Operator Level 2,D3,Distribution Operator Level 3
CA1910039,SAN GABRIEL VALLEY WATER CO.-EL MONTE,LOS ANGELES,C,Community,C,Community,A,Active,P,Private,GW,Groundwater,260500,NULL,NULL,260500,13,NULL,5423,48,40862,46346,C1,Large Water System,6/23/2015,EL MONTE,T5,Treatment Operator Level 5,D5,Distribution Operator Level 5
CA1910040,"EL SEGUNDO-CITY, WATER DEPT.",LOS ANGELES,C,Community,C,Community,A,Active,L,Local,SWP,Surface Water Purchased,16719,NULL,NULL,16719,100,NULL,660,469,3411,4640,C1,Large Water System,7/3/2018,EL SEGUNDO,NULL,,D3,Distribution Operator Level 3
CA1910041,THREE VALLEYS MWD,LOS ANGELES,C,Community,C,Community,A,Active,L,Local,SW,Surface Water,NULL,NULL,NULL,48617,NULL,NULL,14,NULL,NULL,14,WH,Wholesaler,2/15/2018,CLAREMONT,T5,Treatment Operator Level 5,D4,Distribution Operator Level 4
CA1910042,"PICO RIVERA - CITY, WATER DEPT.",LOS ANGELES,C,Community,C,Community,A,Active,L,Local,GW,Groundwater,40702,NULL,NULL,40702,NULL,NULL,439,NULL,8994,9433,C1,Large Water System,4/24/2018,PICO RIVERA,TD,Treatment or distribution operator of any grade,D4,Distribution Operator Level 4
CA1910043,"GLENDALE-CITY, WATER DEPT.",LOS ANGELES,C,Community,C,Community,A,Active,L,Local,SWP,Surface Water Purchased,205331,NULL,NULL,205331,389,NULL,3741,183,30005,34318,C1,Large Water System,10/31/2019,GLENDALE,T5,Treatment Operator Level 5,D5,Distribution Operator Level 5
CA1910044,"GLENDORA-CITY, WATER DEPT.",LOS ANGELES,C,Community,C,Community,A,Active,L,Local,SWP,Surface Water Purchased,44444,NULL,NULL,44444,142,NULL,436,NULL,12890,13468,C1,Large Water System,7/11/2018,GLENDORA,T2,Treatment Operator Level 2,D4,Distribution Operator Level 4
CA1910045,ANTELOPE VALLEY EAST KERN WATER AGENCY,LOS ANGELES,C,Community,C,Community,A,Active,L,Local,SW,Surface Water,NULL,NULL,NULL,110286,17,NULL,1,31,NULL,49,WH,Wholesaler,3/5/2014,PALMDALE,T5,Treatment Operator Level 5,D4,Distribution Operator Level 4
CA1910046,SUBURBAN WATER SYSTEMS-GLENDORA,LOS ANGELES,C,Community,C,Community,A,Active,P,Private,SWP,Surface Water Purchased,6543,NULL,NULL,6543,NULL,NULL,40,NULL,1518,1558,C1,Large Water System,4/11/2019,COVINA,NULL,,D2,Distribution Operator Level 2
CA1910047,HAWTHORNE-CITY WATER DEPT.,LOS ANGELES,C,Community,C,Community,A,Active,L,Local,SWP,Surface Water Purchased,44649,NULL,NULL,44649,NULL,NULL,655,2,5562,6219,C1,Large Water System,3/10/2015,HAWTHORNE,T3,Treatment Operator Level 3,D3,Distribution Operator Level 3
CA1910048,SANTA CLARITA VALLEY W.A.-IMPORTED DIVIS,LOS ANGELES,C,Community,C,Community,A,Active,L,Local,SW,Surface Water,NULL,NULL,NULL,277305,NULL,NULL,NULL,NULL,26,26,WH,Wholesaler,5/25/2016,SANTA CLARITA,T5,Treatment Operator Level 5,D5,Distribution Operator Level 5
CA1910049,"HUNTINGTON PARK-CITY, WATER DEPT.",LOS ANGELES,C,Community,C,Community,A,Active,L,Local,SWP,Surface Water Purchased,15414,NULL,NULL,15414,NULL,NULL,901,NULL,4671,5572,DAVCL,Disadvantaged Large Community Water System,12/19/2019,HUNTINGTON PARK,T1,Treatment Operator Level 1,D4,Distribution Operator Level 4
CA1910050,"COMMERCE-CITY, WATER DEPT.",LOS ANGELES,C,Community,C,Community,A,Active,L,Local,SWP,Surface Water Purchased,4203,NULL,NULL,4203,NULL,NULL,333,175,481,989,C1,Large Water System,7/31/2018,COMMERCE,T2,Treatment Operator Level 2,D2,Distribution Operator Level 2
CA1910051,"INGLEWOOD- CITY, WATER DEPT.",LOS ANGELES,C,Community,C,Community,A,Active,L,Local,SWP,Surface Water Purchased,84448,NULL,NULL,84448,NULL,NULL,2231,63,13549,15843,DAVCL,Disadvantaged Large Community Water System,2/22/2018,INGLEWOOD,T2,Treatment Operator Level 2,D5,Distribution Operator Level 5
CA1910052,CAL/AM WATER COMPANY - BALDWIN HILLS,LOS ANGELES,C,Community,C,Community,A,Active,P,Private,SWP,Surface Water Purchased,20453,NULL,NULL,20453,1,NULL,258,3,5936,6198,C1,Large Water System,12/12/2018,ROSEMEAD,T2,Treatment Operator Level 2,D4,Distribution Operator Level 4
CA1910053,HEMLOCK MUTUAL WATER CO.,LOS ANGELES,C,Community,C,Community,A,Active,P,Private,GW,Groundwater,686,NULL,NULL,686,NULL,NULL,1,NULL,207,208,SC,Small Community,12/6/2017,EL MONTE,TD,Treatment or distribution operator of any grade,D2,Distribution Operator Level 2
CA1910054,LA CANADA IRRIGATION DIST.,LOS ANGELES,C,Community,C,Community,A,Active,L,Local,SWP,Surface Water Purchased,9300,NULL,NULL,9300,22,NULL,98,NULL,2819,2939,C1,Large Water System,11/7/2018,LA CANADA,TD,Treatment or distribution operator of any grade,D3,Distribution Operator Level 3
CA1910056,LAKE ELIZABETH MUTUAL WATER CO.,LOS ANGELES,C,Community,C,Community,A,Active,P,Private,SWP,Surface Water Purchased,1790,NULL,NULL,1790,2,NULL,NULL,NULL,722,724,SC,Small Community,12/4/2018,ELIZABETH LAKE,T2,Treatment Operator Level 2,D2,Distribution Operator Level 2
CA1910059,SUBURBAN WATER SYSTEMS-LA MIRADA,LOS ANGELES,C,Community,C,Community,A,Active,P,Private,GW,Groundwater,55223,NULL,NULL,55223,154,NULL,880,15,12572,13621,C1,Large Water System,6/21/2018,COVINA,T2,Treatment Operator Level 2,D3,Distribution Operator Level 3
CA1910060,LA PUENTE VALLEY CWD,LOS ANGELES,C,Community,C,Community,A,Active,L,Local,GW,Groundwater,9842,NULL,NULL,9842,85,NULL,299,7,2058,2449,C1,Large Water System,10/29/2018,LA PUENTE,T3,Treatment Operator Level 3,D3,Distribution Operator Level 3
CA1910061,LAS FLORES WATER CO.,LOS ANGELES,C,Community,C,Community,A,Active,P,Private,SWP,Surface Water Purchased,4500,NULL,NULL,4500,2,NULL,2,NULL,1475,1479,C1,Large Water System,12/5/2019,ALTADENA,T2,Treatment Operator Level 2,D3,Distribution Operator Level 3
CA1910062,"LA VERNE, CITY WD",LOS ANGELES,C,Community,C,Community,A,Active,L,Local,SWP,Surface Water Purchased,32206,NULL,NULL,32206,3,NULL,707,164,7920,8794,C1,Large Water System,1/22/2018,LA VERNE,T3,Treatment Operator Level 3,D4,Distribution Operator Level 4
CA1910063,LINCOLN AVENUE WATER CO.,LOS ANGELES,C,Community,C,Community,A,Active,P,Private,SW,Surface Water,16126,NULL,NULL,16126,NULL,NULL,118,NULL,4356,4474,C1,Large Water System,10/30/2018,ALTADENA,T2,Treatment Operator Level 2,D4,Distribution Operator Level 4
CA1910064,LITTLEROCK CREEK IRRIGATION DIST.,LOS ANGELES,C,Community,C,Community,A,Active,L,Local,GW,Groundwater,3405,NULL,NULL,3405,132,NULL,62,6,1094,1294,DAVCL,Disadvantaged Large Community Water System,12/12/2017,LITTLEROCK,TD,Treatment or distribution operator of any grade,D2,Distribution Operator Level 2
CA1910065,"LONG BEACH-CITY, WATER DEPT.",LOS ANGELES,C,Community,C,Community,A,Active,L,Local,SWP,Surface Water Purchased,475013,NULL,NULL,475013,1162,NULL,6391,224,80726,88503,C1,Large Water System,6/25/2019,LONG BEACH,T5,Treatment Operator Level 5,D5,Distribution Operator Level 5
CA1910066,LEISURE LAKE MOBILE ESTATES,LOS ANGELES,C,Community,C,Community,A,Active,P,Private,GW,Groundwater,325,NULL,NULL,325,NULL,NULL,NULL,NULL,211,211,SC,Small Community,1/11/2019,LANCASTER,T2,Treatment Operator Level 2,D1,Distribution Operator Level 1
CA1910067,"LOS ANGELES-CITY, DEPT. OF WATER & POWER",LOS ANGELES,C,Community,C,Community,A,Active,L,Local,SW,Surface Water,4070679,NULL,NULL,4070679,1228,NULL,76639,6511,624757,709135,C1,Large Water System,9/11/2017,LOS ANGELES,T5,Treatment Operator Level 5,D5,Distribution Operator Level 5
CA1910070,"LOS ANGELES CWWD 40,REG 4 & 34-LANCASTER",LOS ANGELES,C,Community,C,Community,A,Active,L,Local,SWP,Surface Water Purchased,183918,NULL,NULL,183918,NULL,NULL,3354,66,47163,50583,C1,Large Water System,10/1/2018,ALHAMBRA,T2,Treatment Operator Level 2,D5,Distribution Operator Level 5
CA1910072,GSWC - WILLOWBROOK,LOS ANGELES,C,Community,C,Community,A,Active,P,Private,GW,Groundwater,11037,NULL,NULL,11037,8,NULL,62,NULL,1371,1441,C1,Large Water System,6/13/2019,SANTA FE SPRINGS,T1,Treatment Operator Level 1,D2,Distribution Operator Level 2
CA1910073,"LOMITA-CITY, WATER DEPT.",LOS ANGELES,C,Community,C,Community,A,Active,L,Local,SWP,Surface Water Purchased,20320,NULL,NULL,20320,NULL,NULL,357,NULL,4027,4384,C1,Large Water System,1/26/2017,LOMITA,NULL,,D3,Distribution Operator Level 3
CA1910075,LOS ANGELES CWWD 21-KAGEL CANYON,LOS ANGELES,C,Community,C,Community,A,Active,L,Local,SWP,Surface Water Purchased,546,NULL,NULL,546,NULL,NULL,5,1,240,246,SC,Small Community,10/16/2018,ALHAMBRA,NULL,,D1,Distribution Operator Level 1
CA1910077,GSWC - FLORENCE/GRAHAM,LOS ANGELES,C,Community,C,Community,A,Active,P,Private,SWP,Surface Water Purchased,66203,NULL,NULL,66203,21,NULL,865,41,8755,9682,C1,Large Water System,10/17/2017,SANTA FE SPRINGS,T2,Treatment Operator Level 2,D3,Distribution Operator Level 3
CA1910079,"LYNWOOD-CITY, WATER DEPT.",LOS ANGELES,C,Community,C,Community,A,Active,L,Local,SWP,Surface Water Purchased,70492,NULL,NULL,70492,NULL,NULL,1385,NULL,7751,9136,DAVCL,Disadvantaged Large Community Water System,12/11/2017,LYNWOOD,TD,Treatment or distribution operator of any grade,D5,Distribution Operator Level 5
CA1910081,LYNWOOD PARK MUTUAL WATER CO.,LOS ANGELES,C,Community,C,Community,A,Active,L,Local,GW,Groundwater,2300,NULL,NULL,2300,NULL,NULL,NULL,NULL,470,470,SC,Small Community,6/27/2018,COMPTON,T1,Treatment Operator Level 1,D1,Distribution Operator Level 1
CA1910083,"MANHATTAN BEACH-CITY, WATER DEPT.",LOS ANGELES,C,Community,C,Community,A,Active,L,Local,SWP,Surface Water Purchased,35135,NULL,NULL,35135,155,NULL,546,5,12590,13296,C1,Large Water System,1/31/2019,MANHATTAN BEACH,T2,Treatment Operator Level 2,D4,Distribution Operator Level 4
CA1910084,MAYWOOD MUTUAL WATER CO. #1,LOS ANGELES,C,Community,C,Community,A,Active,P,Private,SWP,Surface Water Purchased,5500,NULL,NULL,5500,8,NULL,177,NULL,978,1163,DAVCL,Disadvantaged Large Community Water System,8/30/2018,HUNTINGTON PARK,T1,Treatment Operator Level 1,D2,Distribution Operator Level 2
CA1910085,MAYWOOD MUTUAL WATER CO. #2,LOS ANGELES,C,Community,C,Community,A,Active,P,Private,SWP,Surface Water Purchased,7118,NULL,NULL,7118,5,NULL,22,NULL,1897,1924,C1,Large Water System,8/14/2018,MAYWOOD,T2,Treatment Operator Level 2,D2,Distribution Operator Level 2
CA1910086,MAYWOOD MUTUAL WATER CO. #3,LOS ANGELES,C,Community,C,Community,A,Active,P,Private,SWP,Surface Water Purchased,9500,NULL,NULL,9500,NULL,NULL,NULL,68,1946,2014,C1,Large Water System,9/11/2018,MAYWOOD,TD,Treatment or distribution operator of any grade,D2,Distribution Operator Level 2
CA1910087,METROPOLITAN WATER DIST. OF SO. CAL.,LOS ANGELES,C,Community,C,Community,A,Active,L,Local,SW,Surface Water,NULL,NULL,NULL,18962000,NULL,NULL,NULL,307,NULL,307,WH,Wholesaler,5/23/2019,LOS ANGELES,T5,Treatment Operator Level 5,D5,Distribution Operator Level 5
CA1910090,"MONROVIA-CITY, WATER DEPT.",LOS ANGELES,C,Community,C,Community,A,Active,L,Local,GW,Groundwater,38787,NULL,NULL,38787,296,NULL,976,23,8950,10245,C1,Large Water System,6/3/2020,MONROVIA,T3,Treatment Operator Level 3,D4,Distribution Operator Level 4
CA1910091,MONTEBELLO LAND & WATER CO.,LOS ANGELES,C,Community,C,Community,A,Active,P,Private,GW,Groundwater,26554,NULL,NULL,26554,NULL,NULL,545,24,3479,4048,C1,Large Water System,11/27/2018,MONTEBELLO,T2,Treatment Operator Level 2,D2,Distribution Operator Level 2
CA1910092,"MONTEREY PARK-CITY, WATER DEPT.",LOS ANGELES,C,Community,C,Community,A,Active,L,Local,GW,Groundwater,62183,NULL,NULL,62183,105,NULL,879,7,12634,13625,C1,Large Water System,1/28/2020,MONTEREY PARK,T4,Treatment Operator Level 4,D5,Distribution Operator Level 5
CA1910096,SANTA CLARITA VALLEY W.A.-NEWHALL DIV.,LOS ANGELES,C,Community,C,Community,A,Active,L,Local,SWP,Surface Water Purchased,12474,NULL,NULL,12474,106,NULL,356,5,3313,3780,C1,Large Water System,12/4/2018,SANTA CLARITA,T2,Treatment Operator Level 2,D4,Distribution Operator Level 4
CA1910097,NORTHROP GRUMMAN CORP.,LOS ANGELES,NTNC,Non-Transient Non-Community,NTNC,Non-Transient Non-Community,A,Active,P,Private,GW,Groundwater,NULL,4778,NULL,4778,NULL,NULL,NULL,21,NULL,21,SP,Non-Transient Non-Community Water System,11/9/2016,PALMDALE,TD,Treatment or distribution operator of any grade,D2,Distribution Operator Level 2
CA1910098,GSWC - NORWALK,LOS ANGELES,C,Community,C,Community,A,Active,P,Private,SWP,Surface Water Purchased,43874,NULL,NULL,43874,55,NULL,393,10,8883,9341,C1,Large Water System,9/25/2018,SANTA FE SPRINGS,T2,Treatment Operator Level 2,D4,Distribution Operator Level 4
CA1910099,PARADISE RANCH MHP,LOS ANGELES,C,Community,C,Community,A,Active,P,Private,GW,Groundwater,345,NULL,NULL,345,NULL,NULL,1,NULL,94,95,SC,Small Community,4/9/2009,CASTAIC,T1,Treatment Operator Level 1,D1,Distribution Operator Level 1
CA1910101,ORCHARD DALE WATER DISTRICT,LOS ANGELES,C,Community,C,Community,A,Active,L,Local,GWP,Groundwater Purchased,25000,NULL,NULL,25000,NULL,NULL,21,45,4245,4311,C1,Large Water System,8/12/2020,WHITTIER,T2,Treatment Operator Level 2,D3,Distribution Operator Level 3
CA1910102,PALMDALE WATER DIST.,LOS ANGELES,C,Community,C,Community,A,Active,L,Local,SW,Surface Water,115525,NULL,NULL,115525,236,NULL,617,63,25630,26546,C1,Large Water System,5/1/2019,PALMDALE,T5,Treatment Operator Level 5,D5,Distribution Operator Level 5
CA1910103,PALM RANCH IRRIGATION DIST.,LOS ANGELES,C,Community,C,Community,A,Active,L,Local,SWP,Surface Water Purchased,5570,NULL,NULL,5570,8,NULL,37,NULL,1641,1686,C1,Large Water System,4/19/2019,LANCASTER,T2,Treatment Operator Level 2,D2,Distribution Operator Level 2
CA1910104,CALIFORNIA WATER SERVICE CO. - PALOS VER,LOS ANGELES,C,Community,C,Community,A,Active,P,Private,SWP,Surface Water Purchased,70271,NULL,NULL,70271,1,NULL,927,NULL,23131,24059,C1,Large Water System,12/15/2017,RANCHO PALOS VERDES,NULL,,D5,Distribution Operator Level 5
CA1910105,"PARAMOUNT - CITY, WATER DEPT.",LOS ANGELES,C,Community,C,Community,A,Active,L,Local,SWP,Surface Water Purchased,56000,NULL,NULL,56000,253,NULL,534,552,6090,7429,DAVCL,Disadvantaged Large Community Water System,3/13/2019,PARAMOUNT,T2,Treatment Operator Level 2,D4,Distribution Operator Level 4
CA1910108,CITY OF BELL GARDENS,LOS ANGELES,C,Community,C,Community,A,Active,L,Local,SWP,Surface Water Purchased,4074,NULL,NULL,4074,NULL,NULL,203,NULL,1455,1658,DAVCL,Disadvantaged Large Community Water System,7/17/2018,BELL GARDENS,T2,Treatment Operator Level 2,D2,Distribution Operator Level 2
CA1910117,"MONTEBELLO-CITY, WATER DEPT.",LOS ANGELES,C,Community,C,Community,A,Active,L,Local,SWP,Surface Water Purchased,8228,NULL,NULL,8228,NULL,NULL,269,1,1227,1497,C1,Large Water System,8/6/2019,MONTEBELLO,TD,Treatment or distribution operator of any grade,D2,Distribution Operator Level 2
CA1910124,"PASADENA-CITY, WATER DEPT.",LOS ANGELES,C,Community,C,Community,A,Active,L,Local,SWP,Surface Water Purchased,168651,NULL,NULL,168651,NULL,NULL,3953,NULL,32495,36448,C1,Large Water System,8/27/2019,PASADENA,T4,Treatment Operator Level 4,D5,Distribution Operator Level 5
CA1910125,PICO WD,LOS ANGELES,C,Community,C,Community,A,Active,L,Local,GW,Groundwater,25284,NULL,NULL,25284,38,NULL,591,4,4857,5490,C1,Large Water System,3/12/2019,PICO RIVERA,TD,Treatment or distribution operator of any grade,D3,Distribution Operator Level 3
CA1910126,"POMONA - CITY, WATER DEPT.",LOS ANGELES,C,Community,C,Community,A,Active,L,Local,SW,Surface Water,152361,NULL,NULL,152361,476,NULL,3138,246,26181,30041,C1,Large Water System,12/3/2019,POMONA,T5,Treatment Operator Level 5,D5,Distribution Operator Level 5
CA1910127,"COVINA-CITY, WATER DEPT.",LOS ANGELES,C,Community,C,Community,A,Active,L,Local,SWP,Surface Water Purchased,33300,NULL,NULL,33300,79,NULL,1037,47,7341,8504,C1,Large Water System,12/13/2017,COVINA,NULL,,D4,Distribution Operator Level 4
CA1910128,COVINA IRRIGATING CO.,LOS ANGELES,C,Community,C,Community,A,Active,P,Private,SW,Surface Water,NULL,NULL,NULL,382349,NULL,NULL,12,NULL,NULL,12,WH,Wholesaler,10/15/2014,COVINA,T4,Treatment Operator Level 4,D4,Distribution Operator Level 4
CA1910130,QUARTZ HILL WATER DIST.,LOS ANGELES,C,Community,C,Community,A,Active,L,Local,SWP,Surface Water Purchased,20352,NULL,NULL,20352,67,NULL,74,NULL,5619,5760,C1,Large Water System,3/13/2014,QUARTZ HILL,T2,Treatment Operator Level 2,D4,Distribution Operator Level 4
CA1910134,CALIFORNIA WATER SERVICE CO. - HERM/REDO,LOS ANGELES,C,Community,C,Community,A,Active,P,Private,SWP,Surface Water Purchased,96314,NULL,NULL,96314,2,NULL,2177,25,24465,26669,C1,Large Water System,12/1/2017,TORRANCE,T1,Treatment Operator Level 1,D5,Distribution Operator Level 5
CA1910137,THE BOEING COMPANY - HDAIT,LOS ANGELES,NTNC,Non-Transient Non-Community,NTNC,Non-Transient Non-Community,A,Active,F,Federal Government,GW,Groundwater,NULL,100,NULL,100,NULL,NULL,11,NULL,NULL,11,SP,Non-Transient Non-Community Water System,10/15/2020,PALMDALE,TD,Treatment or distribution operator of any grade,D1,Distribution Operator Level 1
CA1910138,LOS ANGELES WORLD AIRPORTS,LOS ANGELES,NTNC,Non-Transient Non-Community,NTNC,Non-Transient Non-Community,A,Active,L,Local,GW,Groundwater,NULL,156,NULL,156,NULL,NULL,NULL,5,NULL,5,SP,Non-Transient Non-Community Water System,11/10/2016,PALMDALE,TD,Treatment or distribution operator of any grade,D1,Distribution Operator Level 1
CA1910139,CAL/AM WATER COMPANY - SAN MARINO,LOS ANGELES,C,Community,C,Community,A,Active,P,Private,SWP,Surface Water Purchased,46464,NULL,NULL,46464,8,NULL,1149,42,12881,14080,C1,Large Water System,12/11/2019,ROSEMEAD,T2,Treatment Operator Level 2,D4,Distribution Operator Level 4
CA1910140,RUBIO CANON LAND & WATER ASSOCIATION,LOS ANGELES,C,Community,C,Community,A,Active,P,Private,SW,Surface Water,9600,NULL,NULL,9600,16,NULL,161,NULL,2951,3128,C1,Large Water System,11/20/2019,ALTADENA,T3,Treatment Operator Level 3,D3,Distribution Operator Level 3
CA1910142,GSWC-SAN DIMAS,LOS ANGELES,C,Community,C,Community,A,Active,P,Private,SWP,Surface Water Purchased,55107,NULL,NULL,55107,101,NULL,924,1,15007,16033,C1,Large Water System,8/2/2016,SAN DIMAS,T2,Treatment Operator Level 2,D5,Distribution Operator Level 5
CA1910143,"SAN FERNANDO-CITY, WATER DEPT.",LOS ANGELES,C,Community,C,Community,A,Active,L,Local,GW,Groundwater,24714,NULL,NULL,24714,69,NULL,589,177,4323,5158,C1,Large Water System,9/20/2018,SAN FERNANDO,T2,Treatment Operator Level 2,D3,Distribution Operator Level 3
CA1910144,SAN GABRIEL COUNTY WD,LOS ANGELES,C,Community,C,Community,A,Active,L,Local,GW,Groundwater,45000,NULL,NULL,45000,180,NULL,817,NULL,8253,9250,C1,Large Water System,8/25/2020,ROSEMEAD,T2,Treatment Operator Level 2,D3,Distribution Operator Level 3
CA1910146,"SANTA MONICA-CITY, WATER DIVISION",LOS ANGELES,C,Community,C,Community,A,Active,L,Local,SWP,Surface Water Purchased,92306,NULL,NULL,92306,633,NULL,2303,NULL,13952,16888,C1,Large Water System,10/31/2018,LOS ANGELES,T4,Treatment Operator Level 4,D5,Distribution Operator Level 5
